CODICE_COMUNE,num_strade,num_civici,num_civici_con_coord,CODICE_ISTAT
B367,48,1953,0,064013
B368,224,2392,6,012029
B369,182,5880,0,009015
B371,249,7279,0,063011
B374,100,2018,0,064014
B375,43,1093,15,025008
B376,22,1053,18,005013
B377,92,1775,0,084006
B378,194,2848,0,090021
B379,48,1457,1385,080016
B380,31,734,0,103014
B381,188,4524,0,086005
B382,113,731,0,066014
B383,208,3466,0,111008
B384,237,3278,0,087010
B385,466,8180,0,081003
B387,50,1555,0,018084
B388,52,915,0,056010
B389,36,778,58,022032
B390,211,4352,0,050003
B391,62,1013,0,077004
B392,174,6598,0,050004
B393,162,1907,1,016043
B394,142,5407,0,017032
B395,136,3269,0,016044
B396,87,1803,0,097012
B397,68,1936,0,021015
B398,85,1124,0,043006
B399,146,3570,0,037009
B400,50,1027,0,022033
B402,115,2523,0,023017
B403,173,7267,18,024018
B404,69,1249,0,022034
B405,117,1153,0,033008
B406,245,7319,0,048005
B408,93,1120,0,034008
B409,63,1516,48,009016
B410,47,1225,0,011008
B413,177,6830,3272,075010
B415,367,12978,1,064015
B416,76,1685,0,009017
B417,25,322,0,096008
B418,45,1062,40,005014
B419,23,495,0,022035
B423,205,3527,0,097013
B424,153,2052,0,078021
B425,86,1206,0,005015
B426,96,1616,0,078022
B427,368,4483,0,084007
B428,978,21008,11,087011
